County,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Cuyahoga,1647895,1679847,1703310,1725173,1746464,1759001,1772368,1773954,1774218,1768022,1720835,1707600,1670000,1643700,1617100,1595200,1578100,1559100,1538700,1514200,1498400,1485870,1474693,1472065,1466936,1458564,1448590,1438907,1421546,1417480,1412140,1417671,1422812,1426966,1426291,1422616,1418382,1411041,1405644,1399752,1393978,1382520,1371493,1359929,1346714,1330612,1312816,1301540,1291479,1285082,1280122
Darke,45612,46137,46462,46802,47149,47478,47764,48210,48452,50355,49141,50200,51200,52300,53900,54300,55200,55100,54700,55600,55096,54584,53414,53459,53523,53545,53389,53552,53948,53787,53617,53589,53579,53635,53757,53792,53889,53692,53467,53375,53309,53110,53011,53190,53236,53200,53023,52996,52909,52829,52959
Defiance,31508,32239,32830,33348,33948,34439,34995,35444,35632,35651,36949,37100,37200,37400,37800,38100,38400,38900,39200,39900,39987,39818,39263,38988,38877,39348,39123,39168,39157,39275,39350,39516,39428,39552,39584,39923,40220,40030,39866,39712,39500,39456,39303,39209,39115,39049,39154,39123,39250,39060,39037
Delaware,36107,36916,37486,38070,38643,39212,39599,39974,40344,40565,42908,43600,44300,47300,49600,49400,49900,50900,52000,53600,53840,54825,55722,56406,57053,58010,59497,60675,62996,65127,66929,70273,72549,75526,79346,82849,88068,93592,99666,105518,109989,118646,126172,133842,141348,149153,156164,161796,166652,170676,174214
Erie,68000,70091,71693,73304,74808,76195,77514,78495,78927,78962,75909,77300,77700,78200,78100,78500,78300,78500,78700,78200,79655,79266,78098,77434,77299,76915,76774,76640,76883,76781,76781,77227,77709,78243,78646,79613,80107,80074,79861,79513,79551,79308,78762,78673,78596,78070,77876,77668,77573,77085,77079
Fairfield,63912,65450,66662,67876,69114,70195,71155,72266,73119,73178,73301,75300,76700,79200,81800,84100,85600,86400,88800,91500,93678,95831,95772,95612,95823,96404,97525,99509,100877,102105,103468,105605,108021,110264,112137,114410,115822,117432,119250,121431,122759,126245,129355,132770,136074,138745,141005,142915,144029,145446,146156
Fayette,24775,25054,25265,25467,25643,25791,25879,26026,26195,26122,25461,25900,26800,26600,26700,26700,27000,27100,27100,27400,27467,27180,27235,27452,27242,27301,27331,27300,27345,27441,27466,27783,27853,28098,28221,28258,28500,28567,28541,28420,28433,28310,28370,28450,28470,28695,28791,28908,28896,28929,29030
Franklin,682962,707945,727239,746041,764923,782678,799492,808523,814513,814729,833249,850900,857200,860700,864400,867400,869000,875200,877500,877400,869126,878742,880292,887215,895684,902756,912947,924832,942069,952215,961437,981175,995873,1008616,1017751,1026057,1033866,1043193,1050922,1061223,1068978,1082938,1088693,1095250,1099603,1105497,1115924,1127174,1141183,1155408,1163414
Fulton,29301,29717,30052,30350,30636,30862,31107,31683,32016,32144,33071,34000,35200,35300,36000,36000,36500,37100,37500,37700,37751,37796,37513,37583,37792,37833,37726,37902,38428,38422,38498,38963,39566,39784,39917,40527,40976,41305,41658,41987,42084,42169,42275,42402,42777,42897,42785,42800,42780,42747,42698
Gallia,26120,26273,26398,26515,26541,26534,26518,26789,26889,26866,25239,26200,26700,26900,27200,28800,28700,30100,29700,29500,30098,30174,29972,30218,30265,30307,30117,30376,30368,30876,30954,30987,31852,31076,31155,31307,31313,31473,31324,31156,31069,31017,31083,31095,31029,30993,30927,30977,30997,30857,30934
