County,Year,Population
Franklin,1963,746041
Fulton,1963,30350
Gallia,1963,26515
Geauga,1963,54873
Greene,1963,106827
Guernsey,1963,38690
Hamilton,1963,911051
Hancock,1963,56881
Hardin,1963,29766
Harrison,1963,17446
Henry,1963,26437
Highland,1963,30118
Hocking,1963,20452
Holmes,1963,22532
Huron,1963,49741
Jackson,1963,29556
Jefferson,1963,99220
Knox,1963,39673
Lake,1963,174252
Lawrence,1963,57115
Licking,1963,96902
Logan,1963,35758
Lorain,1963,240969
Lucas,1963,474667
Madison,1963,27893
Mahoning,1963,311410
Marion,1963,63428
Medina,1963,74240
Meigs,1963,21767
Mercer,1963,33610
Miami,1963,76543
Monroe,1963,15366
Montgomery,1963,568035
Morgan,1963,12661
Morrow,1963,20102
Muskingum,1963,80256
Noble,1963,10592
Ottawa,1963,37060
Paulding,1963,17340
Perry,1963,27475
Pickaway,1963,38475
Pike,1963,20755
Portage,1963,101713
Preble,1963,34252
Putnam,1963,29332
Richland,1963,126285
Ross,1963,63370
Sandusky,1963,59456
Scioto,1963,83746
Seneca,1963,61081
Shelby,1963,35123
Stark,1963,357064
Summit,1963,545268
Trumbull,1963,224034
Tuscarawas,1963,78386
Union,1963,23506
Van Wert,1963,29092
Vinton,1963,10056
Warren,1963,75409
Washington,1963,53991
Wayne,1963,81183
Williams,1963,31156
Wood,1963,76937
Wyandot,1963,22053
Ohio,1964,10425175
Adams,1964,19543
Allen,1964,109871
Ashland,1964,41002
Ashtabula,1964,98562
Athens,1964,47594
Auglaize,1964,38207
Belmont,1964,81038
Brown,1964,26494
Butler,1964,220406
Carroll,1964,21523
Champaign,1964,30725
Clark,1964,139104
Clermont,1964,98654
Clinton,1964,31996
Columbiana,1964,108952
Coshocton,1964,32744
Crawford,1964,50432
Cuyahoga,1964,1746464
Darke,1964,47149
Defiance,1964,33948
Delaware,1964,38643
Erie,1964,74808
Fairfield,1964,69114
Fayette,1964,25643
Franklin,1964,764923
Fulton,1964,30636
Gallia,1964,26541
Geauga,1964,57134
Greene,1964,110417
Guernsey,1964,38706
Hamilton,1964,924641
Hancock,1964,57884
Hardin,1964,29766
Harrison,1964,17256
Henry,1964,26706
Highland,1964,30197
Hocking,1964,20501
Holmes,1964,22824
Huron,1964,50386
Jackson,1964,29547
Jefferson,1964,98932
Knox,1964,39881
Lake,1964,181972
Lawrence,1964,57629
Licking,1964,99128
Logan,1964,35944
Lorain,1964,247902
