County,Year,Population
Hancock,1974,63900
Hardin,1974,32000
Harrison,1974,17800
Henry,1974,28400
Highland,1974,31500
Hocking,1974,22200
Holmes,1974,26600
Huron,1974,52400
Jackson,1974,28800
Jefferson,1974,94400
Knox,1974,43800
Lake,1974,203400
Lawrence,1974,60100
Licking,1974,112300
Logan,1974,37200
Lorain,1974,268100
Lucas,1974,486000
Madison,1974,30800
Mahoning,1974,306300
Marion,1974,67400
Medina,1974,92900
Meigs,1974,21300
Mercer,1974,37600
Miami,1974,87900
Monroe,1974,15900
Montgomery,1974,585100
Morgan,1974,13300
Morrow,1974,25200
Muskingum,1974,80400
Noble,1974,10800
Ottawa,1974,39100
Paulding,1974,20400
Perry,1974,28900
Pickaway,1974,43500
Pike,1974,20400
Portage,1974,132600
Preble,1974,35500
Putnam,1974,32600
Richland,1974,130400
Ross,1974,61500
Sandusky,1974,62900
Scioto,1974,80000
Seneca,1974,62500
Shelby,1974,41000
Stark,1974,382300
Summit,1974,537700
Trumbull,1974,240300
Tuscarawas,1974,80800
Union,1974,28200
Van Wert,1974,29700
Vinton,1974,10300
Warren,1974,88500
Washington,1974,59800
Wayne,1974,91100
Williams,1974,35300
Wood,1974,101000
Wyandot,1974,23100
Ohio,1975,10770000
Adams,1975,22200
Allen,1975,110800
Ashland,1975,44800
Ashtabula,1975,102000
Athens,1975,52300
Auglaize,1975,42500
Belmont,1975,82900
Brown,1975,30100
Butler,1975,240700
Carroll,1975,24300
Champaign,1975,32300
Clark,1975,154600
Clermont,1975,109600
Clinton,1975,33300
Columbiana,1975,112200
Coshocton,1975,35700
Crawford,1975,51200
Cuyahoga,1975,1595200
Darke,1975,54300
Defiance,1975,38100
Delaware,1975,49400
Erie,1975,78500
Fairfield,1975,84100
Fayette,1975,26700
Franklin,1975,867400
Fulton,1975,36000
Gallia,1975,28800
Geauga,1975,67700
Greene,1975,125800
Guernsey,1975,40600
Hamilton,1975,892900
Hancock,1975,63900
Hardin,1975,32000
Harrison,1975,17700
Henry,1975,28400
Highland,1975,31300
Hocking,1975,22300
Holmes,1975,27400
Huron,1975,53700
Jackson,1975,29400
Jefferson,1975,94800
Knox,1975,44500
Lake,1975,209300
Lawrence,1975,59100
Licking,1975,115600
Logan,1975,38100
Lorain,1975,268500
Lucas,1975,485200
Madison,1975,32400
Mahoning,1975,289400
Marion,1975,67900
Medina,1975,96800
Meigs,1975,21500
Mercer,1975,38000
Miami,1975,88500
Monroe,1975,15900
Montgomery,1975,583400
Morgan,1975,13500
Morrow,1975,26000
Muskingum,1975,81900
Noble,1975,11100
Ottawa,1975,40100
Paulding,1975,20800
Perry,1975,30500
Pickaway,1975,44300
Pike,1975,21100
Portage,1975,132700
Preble,1975,36100
Putnam,1975,33300
Richland,1975,130900
Ross,1975,62400
Sandusky,1975,63900
Scioto,1975,81200
Seneca,1975,62200
Shelby,1975,41700
Stark,1975,378100
Summit,1975,540100
Trumbull,1975,243900
Tuscarawas,1975,81900
Union,1975,27600
Van Wert,1975,29700
Vinton,1975,10400
Warren,1975,88600
Washington,1975,61100
Wayne,1975,94700
Williams,1975,35200
Wood,1975,99600
Wyandot,1975,23300
Ohio,1976,10753000
Adams,1976,23200
Allen,1976,109900
Ashland,1976,44400
Ashtabula,1976,101200
Athens,1976,51500
Auglaize,1976,41300
Belmont,1976,83200
Brown,1976,30100
Butler,1976,241400
Carroll,1976,24700
Champaign,1976,32900
Clark,1976,151700
Clermont,1976,111800
Clinton,1976,33500
Columbiana,1976,112700
Coshocton,1976,35400
Crawford,1976,51200
Cuyahoga,1976,1578100
Darke,1976,55200
Defiance,1976,38400
Delaware,1976,49900
Erie,1976,78300
Fairfield,1976,85600
Fayette,1976,27000
Franklin,1976,869000
Fulton,1976,36500
Gallia,1976,28700
Geauga,1976,67800
Greene,1976,128100
Guernsey,1976,40400
Hamilton,1976,894100
Hancock,1976,63900
Hardin,1976,32400
Harrison,1976,17600
Henry,1976,28300
Highland,1976,32800
Hocking,1976,22900
Holmes,1976,27900
Huron,1976,53400
Jackson,1976,30100
Jefferson,1976,93800
Knox,1976,44400
Lake,1976,209800
Lawrence,1976,61300
Licking,1976,115200
Logan,1976,38200
Lorain,1976,265100
Lucas,1976,478200
Madison,1976,32100
Mahoning,1976,297600
Marion,1976,67400
Medina,1976,99100
Meigs,1976,21900
Mercer,1976,37700
Miami,1976,88600
Monroe,1976,16000
Montgomery,1976,577400
Morgan,1976,13500
Morrow,1976,25900
Muskingum,1976,82100
Noble,1976,11200
Ottawa,1976,39100
Paulding,1976,20600
Perry,1976,29800
Pickaway,1976,44000
Pike,1976,21400
Portage,1976,133700
Preble,1976,36500
Putnam,1976,33700
Richland,1976,131200
Ross,1976,62300
Sandusky,1976,63500
Scioto,1976,84900
Seneca,1976,61900
Shelby,1976,41500
Stark,1976,375900
Summit,1976,534200
Trumbull,1976,239900
Tuscarawas,1976,82600
Union,1976,28300
Van Wert,1976,29600
Vinton,1976,10400
Warren,1976,91300
Washington,1976,60900
Wayne,1976,94000
Williams,1976,35300
Wood,1976,100400
Wyandot,1976,23100
Ohio,1977,10771000
Adams,1977,23500
Allen,1977,110500
Ashland,1977,44700
Ashtabula,1977,101600
Athens,1977,54000
Auglaize,1977,41500
Belmont,1977,82600
Brown,1977,30600
Butler,1977,245900
Carroll,1977,25200
Champaign,1977,33200
Clark,1977,150800
Clermont,1977,115400
Clinton,1977,34000
Columbiana,1977,113800
Coshocton,1977,35300
Crawford,1977,50900
Cuyahoga,1977,1559100
Darke,1977,55100
Defiance,1977,38900
Delaware,1977,50900
Erie,1977,78500
Fairfield,1977,86400
Fayette,1977,27100
Franklin,1977,875200
Fulton,1977,37100
Gallia,1977,30100
Geauga,1977,70400
Greene,1977,128600
Guernsey,1977,40200
Hamilton,1977,890000
Hancock,1977,64100
Hardin,1977,32300
Harrison,1977,17300
Henry,1977,28400
Highland,1977,33300
Hocking,1977,23200
Holmes,1977,28600
Huron,1977,53900
Jackson,1977,30100
Jefferson,1977,93200
Knox,1977,45300
Lake,1977,210000
Lawrence,1977,61900
Licking,1977,116300
Logan,1977,38400
Lorain,1977,270900
Lucas,1977,474700
Madison,1977,32000
Mahoning,1977,297100
Marion,1977,67000
Medina,1977,103200
Meigs,1977,22100
Mercer,1977,38200
Miami,1977,89000
Monroe,1977,16300
Montgomery,1977,570900
Morgan,1977,13400
Morrow,1977,26500
Muskingum,1977,83100
Noble,1977,11200
Ottawa,1977,40000
Paulding,1977,20800
Perry,1977,30200
Pickaway,1977,44100
Pike,1977,21600
Portage,1977,133500
Preble,1977,36800
Putnam,1977,33500
Richland,1977,130500
Ross,1977,63600
Sandusky,1977,63800
Scioto,1977,84500
Seneca,1977,62200
Shelby,1977,42100
Stark,1977,376100
Summit,1977,528800
Trumbull,1977,241900
Tuscarawas,1977,83000
Union,1977,31100
Van Wert,1977,30300
Vinton,1977,10800
Warren,1977,93600
Washington,1977,61500
Wayne,1977,94100
Williams,1977,35600
Wood,1977,102000
Wyandot,1977,22900
Ohio,1978,10795000
Adams,1978,23900
Allen,1978,109800
Ashland,1978,45300
Ashtabula,1978,102500
Athens,1978,55100
Auglaize,1978,42000
Belmont,1978,82300
Brown,1978,31300
Butler,1978,251400
Carroll,1978,25700
Champaign,1978,33400
Clark,1978,150700
Clermont,1978,120600
Clinton,1978,34400
Columbiana,1978,114700
Coshocton,1978,35500
Crawford,1978,51400
Cuyahoga,1978,1538700
Darke,1978,54700
Defiance,1978,39200
Delaware,1978,52000
Erie,1978,78700
Fairfield,1978,88800
Fayette,1978,27100
Franklin,1978,877500
Fulton,1978,37500
Gallia,1978,29700
Geauga,1978,73300
Greene,1978,129400
Guernsey,1978,40500
Hamilton,1978,886500
Hancock,1978,64900
Hardin,1978,32600
Harrison,1978,17400
Henry,1978,29000
Highland,1978,33500
Hocking,1978,23300
Holmes,1978,29500
Huron,1978,54400
Jackson,1978,30100
Jefferson,1978,92500
Knox,1978,46300
Lake,1978,211200
Lawrence,1978,62400
Licking,1978,118700
Logan,1978,38800
Lorain,1978,275800
Lucas,1978,469500
Madison,1978,32200
Mahoning,1978,292600
Marion,1978,66800
Medina,1978,107900
Meigs,1978,22300
Mercer,1978,38300
Miami,1978,89900
Monroe,1978,16500
Montgomery,1978,569200
Morgan,1978,13600
Morrow,1978,26700
Muskingum,1978,83000
Noble,1978,11200
Ottawa,1978,40500
Paulding,1978,21000
Perry,1978,30900
Pickaway,1978,44400
Pike,1978,22100
Portage,1978,134500
Preble,1978,37200
Putnam,1978,33200
Richland,1978,130900
Ross,1978,64600
Sandusky,1978,64000
Scioto,1978,83900
Seneca,1978,62600
Shelby,1978,42800
Stark,1978,378400
Summit,1978,524000
Trumbull,1978,245200
Tuscarawas,1978,83300
Union,1978,29400
Van Wert,1978,30500
Vinton,1978,11000
Warren,1978,96300
Washington,1978,62800
Wayne,1978,95500
Williams,1978,35900
Wood,1978,104100
Wyandot,1978,22800
Ohio,1979,10799000
Adams,1979,24000
Allen,1979,111200
Ashland,1979,45800
Ashtabula,1979,103800
Athens,1979,55200
Auglaize,1979,42500
Belmont,1979,83400
Brown,1979,31600
Butler,1979,256500
Carroll,1979,25600
Champaign,1979,33900
Clark,1979,150800
Clermont,1979,124800
Clinton,1979,34600
Columbiana,1979,113800
Coshocton,1979,35800
Crawford,1979,50800
Cuyahoga,1979,1514200
Darke,1979,55600
Defiance,1979,39900
Delaware,1979,53600
Erie,1979,78200
Fairfield,1979,91500
Fayette,1979,27400
Franklin,1979,877400
Fulton,1979,37700
Gallia,1979,29500
Geauga,1979,73600
Greene,1979,129800
Guernsey,1979,41000
Hamilton,1979,879500
Hancock,1979,64700
Hardin,1979,32300
Harrison,1979,17800
Henry,1979,28600
Highland,1979,33500
Hocking,1979,24000
Holmes,1979,29600
Huron,1979,54600
Jackson,1979,30300
Jefferson,1979,91000
Knox,1979,46700
Lake,1979,212500
Lawrence,1979,63100
Licking,1979,120000
Logan,1979,38800
Lorain,1979,273000
Lucas,1979,471500
Madison,1979,32500
Mahoning,1979,289100
Marion,1979,67100
Medina,1979,111300
Meigs,1979,22900
Mercer,1979,38300
Miami,1979,90400
Monroe,1979,17100
Montgomery,1979,571100
Morgan,1979,13900
Morrow,1979,27000
Muskingum,1979,83200
Noble,1979,11100
Ottawa,1979,40500
Paulding,1979,21300
Perry,1979,30900
Pickaway,1979,44100
Pike,1979,22400
Portage,1979,134300
Preble,1979,37800
Putnam,1979,34400
Richland,1979,130200
Ross,1979,64800
Sandusky,1979,63700
Scioto,1979,84500
Seneca,1979,62700
Shelby,1979,43100
Stark,1979,377300
Summit,1979,526100
Trumbull,1979,241300
Tuscarawas,1979,84000
Union,1979,29400
Van Wert,1979,30400
Vinton,1979,11300
Warren,1979,98300
Washington,1979,63800
Wayne,1979,97300
Williams,1979,36100
Wood,1979,106000
Wyandot,1979,22800
Ohio,1980,10797604
Adams,1980,24328
Allen,1980,112241
Ashland,1980,46178
Ashtabula,1980,104215
Athens,1980,56399
Auglaize,1980,42554
Belmont,1980,82569
Brown,1980,31920
Butler,1980,258787
Carroll,1980,25598
Champaign,1980,33649
Clark,1980,150236
Clermont,1980,128483
Clinton,1980,34603
Columbiana,1980,113572
Coshocton,1980,36024
Crawford,1980,50075
Cuyahoga,1980,1498400
Darke,1980,55096
Defiance,1980,39987
Delaware,1980,53840
Erie,1980,79655
Fairfield,1980,93678
Fayette,1980,27467
Franklin,1980,869126
Fulton,1980,37751
Gallia,1980,30098
Geauga,1980,74474
Greene,1980,129769
Guernsey,1980,42024
Hamilton,1980,873204
Hancock,1980,64581
Hardin,1980,32719
Harrison,1980,18152
Henry,1980,28383
Highland,1980,33477
Hocking,1980,24304
Holmes,1980,29416
Huron,1980,54608
Jackson,1980,30592
Jefferson,1980,91564
Knox,1980,46304
Lake,1980,212801
Lawrence,1980,63849
Licking,1980,120981
Logan,1980,39155
Lorain,1980,274909
Lucas,1980,471741
Madison,1980,33004
Mahoning,1980,289487
Marion,1980,67974
Medina,1980,113150
Meigs,1980,23641
Mercer,1980,38334
Miami,1980,90381
Monroe,1980,17382
Montgomery,1980,571697
Morgan,1980,14241
Morrow,1980,26480
Muskingum,1980,83340
Noble,1980,11310
Ottawa,1980,40076
Paulding,1980,21302
Perry,1980,31032
Pickaway,1980,43662
Pike,1980,22802
Portage,1980,135856
Preble,1980,38223
Putnam,1980,32991
Richland,1980,131205
Ross,1980,65004
Sandusky,1980,63267
Scioto,1980,84545
Seneca,1980,61901
Shelby,1980,43089
Stark,1980,378823
Summit,1980,524472
Trumbull,1980,241863
Tuscarawas,1980,84614
Union,1980,29536
Van Wert,1980,30458
Vinton,1980,11584
Warren,1980,99276
Washington,1980,64266
Wayne,1980,97408
Williams,1980,36369
Wood,1980,107372
Wyandot,1980,22651
Ohio,1981,10788336
Adams,1981,24388
Allen,1981,111726
Ashland,1981,46396
Ashtabula,1981,102998
Athens,1981,56674
Auglaize,1981,43013
Belmont,1981,81859
Brown,1981,32158
Butler,1981,261926
Carroll,1981,25508
Champaign,1981,33599
Clark,1981,149463
Clermont,1981,130938
Clinton,1981,34553
Columbiana,1981,112599
Coshocton,1981,36202
Crawford,1981,49960
Cuyahoga,1981,1485870
Darke,1981,54584
Defiance,1981,39818
Delaware,1981,54825
Erie,1981,79266
Fairfield,1981,95831
Fayette,1981,27180
Franklin,1981,878742
Fulton,1981,37796
Gallia,1981,30174
Geauga,1981,74750
Greene,1981,129725
Guernsey,1981,41941
Hamilton,1981,872014
Hancock,1981,64809
Hardin,1981,32546
Harrison,1981,17638
Henry,1981,28465
Highland,1981,33805
Hocking,1981,24226
Holmes,1981,29775
Huron,1981,54704
Jackson,1981,30280
Jefferson,1981,90048
Knox,1981,46398
Lake,1981,214021
Lawrence,1981,63173
Licking,1981,122475
Logan,1981,39452
Lorain,1981,273173
Lucas,1981,470193
Madison,1981,33595
Mahoning,1981,284845
Marion,1981,67619
Medina,1981,114315
Meigs,1981,23403
Mercer,1981,38539
Miami,1981,90844
Monroe,1981,16901
Montgomery,1981,570260
Morgan,1981,13926
Morrow,1981,26736
Muskingum,1981,83329
Noble,1981,11048
Ottawa,1981,40087
Paulding,1981,21184
Perry,1981,31156
Pickaway,1981,43399
Pike,1981,23298
Portage,1981,137468
Preble,1981,38076
Putnam,1981,33265
Richland,1981,130465
Ross,1981,65594
Sandusky,1981,62943
Scioto,1981,83466
Seneca,1981,61995
Shelby,1981,43494
Stark,1981,377725
Summit,1981,521402
Trumbull,1981,240531
Tuscarawas,1981,84760
Union,1981,29627
Van Wert,1981,30542
Vinton,1981,11142
Warren,1981,99953
Washington,1981,63981
Wayne,1981,97671
Williams,1981,36515
Wood,1981,108988
Wyandot,1981,22592
Ohio,1982,10757085
Adams,1982,24459
Allen,1982,109826
Ashland,1982,46427
Ashtabula,1982,102945
Athens,1982,57432
Auglaize,1982,42899
Belmont,1982,81403
Brown,1982,32150
Butler,1982,262015
Carroll,1982,25701
Champaign,1982,33780
Clark,1982,147821
Clermont,1982,132719
Clinton,1982,34210
Columbiana,1982,112463
Coshocton,1982,36146
Crawford,1982,49232
Cuyahoga,1982,1474693
Darke,1982,53414
Defiance,1982,39263
Delaware,1982,55722
Erie,1982,78098
Fairfield,1982,95772
Fayette,1982,27235
Franklin,1982,880292
Fulton,1982,37513
Gallia,1982,29972
Geauga,1982,74939
Greene,1982,130099
Guernsey,1982,41708
Hamilton,1982,871027
Hancock,1982,64889
Hardin,1982,32041
Harrison,1982,17669
Henry,1982,28159
Highland,1982,33600
Hocking,1982,24118
Holmes,1982,30273
Huron,1982,54355
Jackson,1982,30477
Jefferson,1982,89547
Knox,1982,46706
Lake,1982,214281
Lawrence,1982,63309
Licking,1982,123336
Logan,1982,39306
Lorain,1982,271800
Lucas,1982,468648
Madison,1982,33879
Mahoning,1982,283178
Marion,1982,67153
Medina,1982,114977
Meigs,1982,23661
Mercer,1982,38369
Miami,1982,90265
Monroe,1982,16838
Montgomery,1982,565803
Morgan,1982,14137
Morrow,1982,26606
Muskingum,1982,83728
Noble,1982,11170
Ottawa,1982,39722
Paulding,1982,20901
Perry,1982,31371
Pickaway,1982,42971
Pike,1982,23737
Portage,1982,138090
Preble,1982,37883
Putnam,1982,32962
Richland,1982,129141
Ross,1982,65649
Sandusky,1982,62180
Scioto,1982,84297
Seneca,1982,61093
Shelby,1982,43275
Stark,1982,375915
Summit,1982,518036
Trumbull,1982,239152
Tuscarawas,1982,84820
Union,1982,29914
Van Wert,1982,30217
Vinton,1982,11299
Warren,1982,100581
Washington,1982,64529
Wayne,1982,98039
Williams,1982,36203
Wood,1982,108830
Wyandot,1982,22625
Ohio,1983,10737631
Adams,1983,24111
Allen,1983,108936
Ashland,1983,46186
Ashtabula,1983,101955
Athens,1983,57704
Auglaize,1983,42808
Belmont,1983,80575
Brown,1983,32052
Butler,1983,262757
Carroll,1983,25964
Champaign,1983,33637
Clark,1983,147142
Clermont,1983,134129
Clinton,1983,34238
Columbiana,1983,111217
Coshocton,1983,35972
Crawford,1983,48840
Cuyahoga,1983,1472065
Darke,1983,53459
Defiance,1983,38988
Delaware,1983,56406
Erie,1983,77434
Fairfield,1983,95612
Fayette,1983,27452
Franklin,1983,887215
Fulton,1983,37583
Gallia,1983,30218
Geauga,1983,75171
Greene,1983,129763
Guernsey,1983,41557
Hamilton,1983,869026
Hancock,1983,65011
Hardin,1983,31597
Harrison,1983,17546
Henry,1983,28358
Highland,1983,33541
Hocking,1983,24443
Holmes,1983,30756
Huron,1983,54324
Jackson,1983,30693
Jefferson,1983,87354
Knox,1983,46662
Lake,1983,214471
Lawrence,1983,63513
Licking,1983,123737
Logan,1983,39451
Lorain,1983,269616
Lucas,1983,466029
Madison,1983,34489
Mahoning,1983,280893
Marion,1983,66766
Medina,1983,115227
Meigs,1983,23460
Mercer,1983,38360
Miami,1983,89692
Monroe,1983,16697
Montgomery,1983,563911
Morgan,1983,14083
Morrow,1983,26615
Muskingum,1983,83259
Noble,1983,11148
Ottawa,1983,39666
Paulding,1983,20874
Perry,1983,31100
Pickaway,1983,42534
Pike,1983,23781
Portage,1983,138332
Preble,1983,38199
Putnam,1983,32915
Richland,1983,128066
Ross,1983,66233
Sandusky,1983,61977
Scioto,1983,84677
Seneca,1983,61060
Shelby,1983,43039
Stark,1983,373763
Summit,1983,515636
Trumbull,1983,236942
Tuscarawas,1983,84738
Union,1983,29837
Van Wert,1983,30170
Vinton,1983,11372
Warren,1983,101084
Washington,1983,64586
Wayne,1983,98193
Williams,1983,36037
Wood,1983,108318
Wyandot,1983,22628
Ohio,1984,10737743
Adams,1984,23861
Allen,1984,109642
Ashland,1984,46493
Ashtabula,1984,101387
Athens,1984,57695
Auglaize,1984,43192
Belmont,1984,79285
Brown,1984,32162
Butler,1984,267077
Carroll,1984,26038
Champaign,1984,33906
Clark,1984,147100
Clermont,1984,135550
Clinton,1984,34060
Columbiana,1984,109992
Coshocton,1984,35948
Crawford,1984,48948
Cuyahoga,1984,1466936
Darke,1984,53523
Defiance,1984,38877
Delaware,1984,57053
Erie,1984,77299
Fairfield,1984,95823
Fayette,1984,27242
Franklin,1984,895684
Fulton,1984,37792
Gallia,1984,30265
Geauga,1984,75239
Greene,1984,129138
Guernsey,1984,41099
Hamilton,1984,868534
Hancock,1984,65560
Hardin,1984,31485
Harrison,1984,17113
Henry,1984,28482
Highland,1984,33722
Hocking,1984,24562
Holmes,1984,30733
Huron,1984,54701
Jackson,1984,30381
Jefferson,1984,86096
Knox,1984,46537
Lake,1984,214952
Lawrence,1984,63209
Licking,1984,123919
Logan,1984,39816
Lorain,1984,268724
Lucas,1984,463874
Madison,1984,34278
Mahoning,1984,276914
Marion,1984,66229
Medina,1984,115439
Meigs,1984,23280
Mercer,1984,38343
Miami,1984,89732
Monroe,1984,16357
Montgomery,1984,566943
Morgan,1984,14053
Morrow,1984,26722
Muskingum,1984,83535
Noble,1984,11118
Ottawa,1984,39579
Paulding,1984,20660
Perry,1984,31193
Pickaway,1984,42959
Pike,1984,23535
Portage,1984,138175
Preble,1984,38747
Putnam,1984,33067
Richland,1984,128485
Ross,1984,66985
Sandusky,1984,62367
Scioto,1984,83599
Seneca,1984,60762
Shelby,1984,43301
Stark,1984,373093
Summit,1984,513742
Trumbull,1984,235007
Tuscarawas,1984,84796
Union,1984,29918
Van Wert,1984,30291
Vinton,1984,11337
Warren,1984,102088
Washington,1984,64165
Wayne,1984,98330
Williams,1984,36361
Wood,1984,108916
Wyandot,1984,22636
Ohio,1985,10734926
Adams,1985,24118
Allen,1985,109601
Ashland,1985,46572
Ashtabula,1985,100761
Athens,1985,58208
Auglaize,1985,43394
Belmont,1985,77482
Brown,1985,32666
Butler,1985,270444
Carroll,1985,26144
Champaign,1985,34166
Clark,1985,147075
Clermont,1985,137393
Clinton,1985,34021
Columbiana,1985,109127
Coshocton,1985,35438
Crawford,1985,48663
Cuyahoga,1985,1458564
Darke,1985,53545
Defiance,1985,39348
Delaware,1985,58010
Erie,1985,76915
Fairfield,1985,96404
Fayette,1985,27301
Franklin,1985,902756
Fulton,1985,37833
Gallia,1985,30307
Geauga,1985,75562
Greene,1985,129898
Guernsey,1985,40558
Hamilton,1985,870575
Hancock,1985,65763
Hardin,1985,31516
Harrison,1985,16882
Henry,1985,28675
Highland,1985,33828
Hocking,1985,24463
Holmes,1985,31065
Huron,1985,54472
Jackson,1985,30376
Jefferson,1985,84980
Knox,1985,46675
Lake,1985,213641
Lawrence,1985,62742
Licking,1985,124394
Logan,1985,40028
Lorain,1985,268298
Lucas,1985,462841
Madison,1985,34628
Mahoning,1985,274535
Marion,1985,65553
Medina,1985,115175
Meigs,1985,23304
Mercer,1985,38473
Miami,1985,90014
Monroe,1985,16237
Montgomery,1985,568935
Morgan,1985,14107
Morrow,1985,26925
Muskingum,1985,82976
Noble,1985,11363
Ottawa,1985,39557
Paulding,1985,20677
Perry,1985,31256
Pickaway,1985,45305
Pike,1985,23650
Portage,1985,137932
Preble,1985,38990
Putnam,1985,33041
Richland,1985,128181
Ross,1985,67048
Sandusky,1985,61983
Scioto,1985,82518
Seneca,1985,60766
Shelby,1985,43574
Stark,1985,370383
Summit,1985,510525
Trumbull,1985,233564
Tuscarawas,1985,84347
Union,1985,30291
Van Wert,1985,30332
Vinton,1985,11323
Warren,1985,102828
Washington,1985,63835
Wayne,1985,98441
Williams,1985,36685
Wood,1985,109463
Wyandot,1985,22718
Ohio,1986,10730272
Adams,1986,24306
Allen,1986,109755
Ashland,1986,46297
Ashtabula,1986,100195
Athens,1986,58343
Auglaize,1986,43595
Belmont,1986,75517
Brown,1986,32930
Butler,1986,274324
Carroll,1986,26230
Champaign,1986,34298
Clark,1986,147403
Clermont,1986,139924
Clinton,1986,34193
Columbiana,1986,108181
Coshocton,1986,35366
Crawford,1986,48478
Cuyahoga,1986,1448590
Darke,1986,53389
Defiance,1986,39123
Delaware,1986,59497
Erie,1986,76774
Fairfield,1986,97525
Fayette,1986,27331
Franklin,1986,912947
Fulton,1986,37726
Gallia,1986,30117
Geauga,1986,76267
Greene,1986,130523
Guernsey,1986,39830
Hamilton,1986,872226
Hancock,1986,65384
Hardin,1986,31250
Harrison,1986,16569
Henry,1986,28619
Highland,1986,34088
Hocking,1986,24575
Holmes,1986,31431
Huron,1986,55222
Jackson,1986,30200
Jefferson,1986,83261
Knox,1986,46536
Lake,1986,213039
Lawrence,1986,62303
Licking,1986,124378
Logan,1986,40535
Lorain,1986,267400
Lucas,1986,463868
Madison,1986,34849
Mahoning,1986,271333
Marion,1986,64781
Medina,1986,115310
Meigs,1986,23182
Mercer,1986,38449
Miami,1986,90837
Monroe,1986,15882
Montgomery,1986,569689
Morgan,1986,14021
Morrow,1986,26840
Muskingum,1986,82439
Noble,1986,11369
Ottawa,1986,39810
Paulding,1986,20607
Perry,1986,31146
Pickaway,1986,45672
Pike,1986,23435
Portage,1986,138655
Preble,1986,39153
Putnam,1986,33227
Richland,1986,127418
Ross,1986,66738
Sandusky,1986,62035
Scioto,1986,81752
Seneca,1986,60328
Shelby,1986,43770
Stark,1986,367339
Summit,1986,507992
Trumbull,1986,230943
Tuscarawas,1986,83635
Union,1986,30625
Van Wert,1986,30258
Vinton,1986,11284
Warren,1986,104298
Washington,1986,63416
Wayne,1986,98358
Williams,1986,36543
Wood,1986,110479
Wyandot,1986,22517
Ohio,1987,10760081
Adams,1987,24688
Allen,1987,110123
Ashland,1987,46448
Ashtabula,1987,99864
Athens,1987,59343
Auglaize,1987,43914
Belmont,1987,74336
Brown,1987,33284
Butler,1987,280021
Carroll,1987,26356
Champaign,1987,34822
Clark,1987,147514
Clermont,1987,143332
Clinton,1987,34601
Columbiana,1987,107885
Coshocton,1987,35324
Crawford,1987,48389
Cuyahoga,1987,1438907
Darke,1987,53552
Defiance,1987,39168
Delaware,1987,60675
Erie,1987,76640
Fairfield,1987,99509
Fayette,1987,27300
Franklin,1987,924832
Fulton,1987,37902
Gallia,1987,30376
Geauga,1987,76931
Greene,1987,132249
Guernsey,1987,39726
Hamilton,1987,873550
Hancock,1987,65511
Hardin,1987,31354
Harrison,1987,15972
Henry,1987,28719
Highland,1987,34712
Hocking,1987,24817
Holmes,1987,31766
Huron,1987,55596
Jackson,1987,30323
Jefferson,1987,81930
Knox,1987,46630
Lake,1987,213350
Lawrence,1987,62178
Licking,1987,124978
Logan,1987,41321
Lorain,1987,267931
Lucas,1987,464107
Madison,1987,35313
Mahoning,1987,268467
Marion,1987,64621
Medina,1987,116773
Meigs,1987,23015
Mercer,1987,38674
Miami,1987,91386
Monroe,1987,15788
Montgomery,1987,572546
Morgan,1987,14164
Morrow,1987,27067
Muskingum,1987,82486
Noble,1987,11382
Ottawa,1987,39654
Paulding,1987,20766
Perry,1987,31252
Pickaway,1987,46195
Pike,1987,23579
Portage,1987,139247
Preble,1987,39653
Putnam,1987,33320
Richland,1987,127345
Ross,1987,67481
Sandusky,1987,62066
Scioto,1987,81480
Seneca,1987,60521
Shelby,1987,43982
Stark,1987,365779
Summit,1987,508563
Trumbull,1987,228929
Tuscarawas,1987,83446
Union,1987,30995
Van Wert,1987,30457
Vinton,1987,11291
Warren,1987,106987
Washington,1987,63092
Wayne,1987,99041
Williams,1987,36902
Wood,1987,111084
Wyandot,1987,22536
Ohio,1988,10798554
Adams,1988,24887
Allen,1988,110518
Ashland,1988,46949
Ashtabula,1988,99929
Athens,1988,59046
Auglaize,1988,44380
Belmont,1988,73157
Brown,1988,33901
Butler,1988,283064
Carroll,1988,26310
Champaign,1988,35198
Clark,1988,147992
Clermont,1988,145624
Clinton,1988,34589
Columbiana,1988,107677
Coshocton,1988,35451
Crawford,1988,48229
Cuyahoga,1988,1421546
Darke,1988,53948
Defiance,1988,39157
Delaware,1988,62996
Erie,1988,76883
Fairfield,1988,100877
Fayette,1988,27345
Franklin,1988,942069
Fulton,1988,38428
Gallia,1988,30368
Geauga,1988,79151
Greene,1988,133439
Guernsey,1988,39584
Hamilton,1988,871861
Hancock,1988,65724
Hardin,1988,31079
Harrison,1988,16077
Henry,1988,28745
Highland,1988,35074
Hocking,1988,24796
Holmes,1988,32131
Huron,1988,55801
Jackson,1988,29935
Jefferson,1988,81473
Knox,1988,46826
Lake,1988,213640
Lawrence,1988,62111
Licking,1988,125945
Logan,1988,41806
Lorain,1988,268431
Lucas,1988,465954
Madison,1988,36248
Mahoning,1988,266069
Marion,1988,64066
Medina,1988,119307
Meigs,1988,22811
Mercer,1988,39045
Miami,1988,92538
Monroe,1988,15528
Montgomery,1988,576663
Morgan,1988,14207
Morrow,1988,27261
Muskingum,1988,82391
Noble,1988,11191
Ottawa,1988,39947
Paulding,1988,20657
Perry,1988,31240
Pickaway,1988,47094
Pike,1988,23802
Portage,1988,141116
Preble,1988,40002
